LOCCODE,PREK_TYPE,BOROUGH,DISTRICT,NAME,NOTE,PHONE,ADDRESS,ZIP,DAY_LENGTH,AREA_NAME,SEATS,X,Y,EMAIL,WEBSITE,MEALS,INDOOR_OUTDOOR,EXTENDED_DAY,SEMS_CODE,BUTTON_TYPE
KBWV,NYCEEC,K,17,Saint Johns Place Family Center Day Care Program,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,7187717720,1620 Saint Johns Place,11233,1,Crown Heights North,18,1005296,183458,carolyn@stjohnsplace.org,www.stjohnsplace.org,3,7,2,17KBWV,apply
KBWW,NYCEEC,K,14,Williamsburg Y Head Start,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,7183870229,64 Division Avenue,11249,3,Williamsburg,90,993639,196930,nbonuso628@gmail.com,www.williamsburgy.org,3,7,1,14KBWW,Info
KBXL,NYCEEC,K,32,ACE Integration Head Start,"<p><strong>Alert</strong>: If your child has an IEP recommending Related Services and/or SEIT, contact the program directly for more information before applying.</p><p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>",7184433917,1419-23 Broadway,11221,1,Bushwick South,64,1006349,190132,mickeyronan@hotmail.com,www.aceintegration.org,3,7,2,32KBXL,apply
KBXQ,NYCEEC,K,22,"Gan, Inc. - Gan Jewish Day Care",<p><strong> Alert: </strong>Program may utilize flexible scheduling policy. Please contact program directly for details about pre-K schedule.</p>,7183387575,2901 Campus Road,11210,1,Flatbush,36,998494,169530,yafitelbaz@yahoo.com,www.ganjewish.com,3,3,1,22KBXQ,apply
KBXS,NYCEEC,K,17,"Roger Day Care, Inc.",,7187034312,775 Rogers Avenue,11226,1,Prospect Lefferts Gardens-Wingate,26,997402,176827,raps775@gmail.com,n/a,3,7,1,17KBXS,apply
KBXT,NYCEEC,K,22,"New Generation Learning Center, Inc.",<p><strong> Alert: </strong>Program may utilize flexible scheduling policy. Please contact program directly for details about pre-K schedule.</p>,7189410404,2597 Bedford Avenue,11226,1,Erasmus,18,996959,172449,day1gen@yahoo.com,n/a,3,3,1,22KBXT,apply
KBXU,NYCEEC,K,21,Yeled V? Yalda,<p><strong> Alert: </strong>Program may utilize flexible scheduling policy. Please contact program directly for details about pre-K schedule.</p><p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,7185148928,1200 Ocean Parkway,11230,3,Ocean Parkway South,12,992687,165002,fbomrind@yeled.org,www.yeled.org,5,9,2,21KBXU,Info
KBYC,NYCEEC,K,21,YWCA-NYC Roberta Bright Early Learning Center,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,7182665333,3001 West 37th Street,11224,1,Seagate-Coney Island,31,983553,148100,mbittrolff@ywcanyc.org,n/a,3,7,1,21KBYC,apply
KBYF,NYCEEC,K,20,Edith and Karl Marks JCH of Bensonhurst,<p><strong> Alert: </strong>Program may utilize flexible scheduling policy. Please contact program directly for details about pre-K schedule.</p>,7189436333,7802 Bay Parkway,11214,1,Bensonhurst West,30,987239,160193,tatyana@jchb.org,www.jchb.org,3,3,1,20KBYF,apply
KBYG,NYCEEC,K,20,Happy Dragon Children and Family Center,,7184398816,5805 7th Avenue,11220,1,Sunset Park East,92,981289,171666,jane@happydragonschool.com,n/a,7,7,1,20KBYG,apply
KBYJ,NYCEEC,K,15,"Al Madinah School, Inc.",,7182224986,383 3rd Avenue,11215,1,Park Slope-Gowanus,45,987256,184713,zkady3@hotmail.com,www.almadinah-school.com,2,2,1,15KBYJ,apply
KBYM,NYCEEC,K,23,Friends of Crown Heights 26,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,7184674270,20 Sutter Avenue,11212,1,Brownsville,36,1005840,181695,emerita.murrell1@gmail.com,www.fochdaycare.org,3,3,2,23KBYM,apply
KBYN,NYCEEC,K,15,Bumble Bees R Us 2,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,7186760080,76 Lorraine Street,11231,1,Carroll Gardens-Columbia Street-Red Hook,18,982340,184973,melissa.johnson@bumblebeesrus.com,www.bumblebeesrus.com,3,3,1,15KBYN,apply
KBYQ,NYCEEC,K,20,Bumble Bees R Us 8,<p><strong> Alert: </strong>Program may utilize flexible scheduling policy. Please contact program directly for details about pre-K schedule.</p><p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,7186760080,5721 6th Avenue,11220,1,Sunset Park East,40,980821,172332,info@bumblebeesrus.com,www.bumblebeesrus.com,2,7,1,20KBYQ,apply
KBZG,NYCEEC,K,20,Ring Around the Rosie,,7184927464,7106 13th Avenue,11228,1,Dyker Heights,15,982813,166062,ring7104@verizon.net,n/a,4,7,1,20KBZG,apply
KBZU,NYCEEC,K,16,Bedford Stuyvesant ECDC 510,<p><strong> Alert: </strong>Program may utilize flexible scheduling policy. Please contact program directly for details about pre-K schedule.</p><p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,3477638629,510 Quincy Street,11221,3,Stuyvesant Heights,45,1000765,189985,spiveys@bsecdc.org,n/a,3,6,1,16KBZU,Info
KBZX,NYCEEC,K,22,Yeshiva Torah Vodaath Preschool,<p><strong> Alert: </strong>Program may utilize flexible scheduling policy. Please contact program directly for details about pre-K schedule.</p>,7189418000,1192 East 31st Street,11210,1,Midwood,36,999500,166099,ryg@torahvodaath.org,n/a,7,3,2,22KBZX,apply
KCAD,NYCEEC,K,17,Higher Level,,7188564064,2401 Beverley Road,11226,1,Erasmus,18,996843,174194,uljoseph@aol.com,n/a,3,3,1,17KCAD,apply
KCAK,NYCEEC,K,20,Kindstart Preschool,,7186215382,7702 New Utrecht Avenue,11214,1,Bensonhurst West,20,984127,162989,sooobad6@aol.com,www.kindstartpreschool.org,4,1,1,20KCAK,apply
KCAP,NYCEEC,K,17,"Little Stars Daycare Center, Inc.",,7186733092,588 Brooklyn Avenue,11203,1,Prospect Lefferts Gardens-Wingate,18,999407,179706,littlestarsdayschool@gmail.com,www.littlestars-dayschool.com,5,9,3,17KCAP,apply
KCDI,NYCEEC,K,20,Beth Jacob of Borough Park,<p><strong> Enhanced Language Support</strong>: Yiddish</p><p><strong> Alert: </strong>Program may utilize flexible scheduling policy. Please contact program directly for details about pre-K schedule.</p>,7184367300,1371 46 Street,11219,1,Borough Park,80,987322,170932,avivahimy@gmail.com,n/a,7,7,1,20KCDI,apply
KCDM,NYCEEC,K,21,Butterfly Day Care Center,,7186466272,2770 East 16th Street,11235,1,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,20,997385,152133,sgontchar@yahoo.com,www.butterflydaycarecenter.com,7,7,1,21KCDM,apply
KCEB,NYCEEC,K,20,Brooklyn Chinese American Association,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,7184380008,871 50th Street,11220,1,Sunset Park East,36,983620,172539,haney@bca.net,www.bca.net,2,6,2,20KCEB,apply
KCEC,NYCEEC,K,32,Kreative Kare Day Care Center,<p><strong> Enhanced Language Support</strong>: Spanish</p><p><strong> Alert: </strong>Program may utilize flexible scheduling policy. Please contact program directly for details about pre-K schedule.</p>,7184431333,455 Wilson Avenue,11221,1,Bushwick North,40,1008548,191811,kreativekare@aol.com,n/a,7,7,1,32KCEC,apply
KCED,NYCEEC,K,21,Sunshine Center of Coney Island,<p><strong> Alert: </strong>Program may utilize flexible scheduling policy. Please contact program directly for details about pre-K schedule.</p>,7189967200,2929 West 31st Street,11224,4,Seagate-Coney Island,18,984957,148782,yaneris@sunshinenewyork.com,www.sunshinenewyork.com,3,7,1,21KCED,Info
KCEG,NYCEEC,K,13,Imagine Dumbo - Adams,,7185222263,85 Adams Street,11201,1,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,11,987412,194967,caroline@imagineelc.com,www.imagineelc.com,5,6,1,13KCEG,apply
KCEH,NYCEEC,K,13,Imagine Brooklyn Heights,,7186247520,50 Monroe Place,11201,1,Brooklyn Heights-Cobble Hill,20,986238,192745,sally@imagineelc.com,www.imagineelc.com,5,2,1,13KCEH,apply
KCEI,NYCEEC,K,22,Bambi Day Care II,<p><strong> Enhanced Language Support</strong>: Russian</p>,7186483332,2121 Bragg Street,11229,1,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,80,1002011,157974,info@bambiacademy.com,www.bambidaycare.com,3,3,1,22KCEI,apply
KCFA,NYCEEC,K,23,SCO Family of Services,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,9292346870,225 Newport Street,11212,1,Brownsville,47,1010119,179633,jkuo@sco.org,www.sco.org,3,3,1,23KCFA,apply
KCFV,NYCEEC,K,18,"Magic Kingdom, LLC",,3477930180,5215 Church Avenue,11203,1,Rugby-Remsen Village,13,1004163,176906,boydilene@gmail.com,n/a,5,9,1,18KCFV,apply
KCGN,NYCEEC,K,23,SCO Family of Services,,7189359466,774 Saratoga Avenue,11212,1,Brownsville,90,1007672,180441,aroszkowski@sco.org,www.sco.org,3,3,2,23KCGN,apply
KCGO,NYCEEC,K,22,Child Development Center of Kingsborough,<p><strong> Alert: </strong>Program may utilize flexible scheduling policy. Please contact program directly for details about pre-K schedule.</p>,7183685868,1915 Oriental Boulevard,11235,1,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,18,1002217,150045,linda.mchugh@kbcc.cuny.edu,www.kbcc.cuny.edu,3,7,1,22KCGO,apply
KCGP,NYCEEC,K,18,Birch Family Services,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,2126161851,475 East 57th Street,11203,1,Rugby-Remsen Village,28,1005693,173872,marjory.antoine@birchfamilyservices.org,www.birchfamilyservices.org,5,9,3,18KCGP,apply
KCGR,NYCEEC,K,15,Brooklyn Chinese American Association,<p><strong> Enhanced Language Support</strong>: Chinese</p>,7184380008,4116 8th Avenue,11232,1,Sunset Park East,30,984631,174638,bcaupkfd@gmail.com,www.bca.net,2,6,2,15KCGR,apply
KCGT,NYCEEC,K,21,Gold Material Montessori School,,7188012155,105 Kings Highway,11214,1,Bensonhurst East,40,987640,160130,maksim@goldmaterial.com,www.goldmaterial.com,5,9,3,21KCGT,apply
KCHJ,NYCEEC,K,17,"Arista Prep, Inc.",,7187565550,221 Kingston Avenue,11213,1,Crown Heights North,54,1000367,184274,aristaprep@gmail.com,n/a,3,2,1,17KCHJ,apply
KCHM,NYCEEC,K,13,"Alonzo A. Daughtry Memorial Day Care Center, Inc.",<p><strong> Alert: </strong>Program may utilize flexible scheduling policy. Please contact program directly for details about pre-K schedule.</p><p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,7185961993,565 Baltic Street,11217,1,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,35,989049,187495,alonzodaughtrydcc@verizon.net,n/a,3,3,1,13KCHM,apply
KCHN,NYCEEC,K,22,Friends of Crown Heights,<p><strong> Alert: </strong>Program may utilize flexible scheduling policy. Please contact program directly for details about pre-K schedule.</p>,9179664400,2805 Newkirk Avenue,11226,1,Erasmus,40,998085,172409,nichols@foch.biz,www.fochdaycare.org,3,6,1,22KCHN,apply
KCHP,NYCEEC,K,16,Weeksville Gardens,<p><strong> Alert: </strong>Program may utilize flexible scheduling policy. Please contact program directly for details about pre-K schedule.</p>,7186239803,1640 Pacific Street,11213,1,Crown Heights North,54,1002383,185866,jmatison@bksny.org,n/a,5,9,1,16KCHP,apply
KCHR,NYCEEC,K,18,"Apple Tree Day Care, Inc.",<p><strong> Alert: </strong>Program may utilize flexible scheduling policy. Please contact program directly for details about pre-K schedule.</p>,7182877488,440 East 48th Street,11203,1,East Flatbush-Farragut,40,1003045,176469,tjcole265@aol.com,n/a,3,6,1,18KCHR,apply
KCHT,NYCEEC,K,19,"Baybee Lounge Daycare, Inc.",,3479554783,2745 Atlantic Avenue,11207,1,East New York,15,1013964,185646,baybeelounge@gmail.com,www.baybeeloungedaycare.com,3,7,1,19KCHT,apply
KCHU,NYCEEC,K,22,Infinity UPK of Gerritsen Avenue,<p><strong> Enhanced Language Support</strong>: Chinese</p>,7183361981,2934-2936 Gerritsen Avenue,11229,1,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,29,1006128,153993,blitblues@aol.com,www.infinitypreschool.org,4,3,2,22KCHU,apply
KCHV,NYCEEC,K,15,"New York Creative Childcare, Inc.",<p><strong> Enhanced Language Support</strong>: Chinese</p><p><strong> Alert: </strong>Program may utilize flexible scheduling policy. Please contact program directly for details about pre-K schedule.</p>,7186860388,5015 6th Avenue,11220,1,Sunset Park East,36,981960,173769,nycreativechildcare@gmail.com,www.nycreativechildcare.com,3,7,1,15KCHV,apply
KCHX,NYCEEC,K,21,Dezzenterprise LLC,,9172072438,3524 Neptune Avenue,11224,1,Seagate-Coney Island,12,983849,149521,info@dezzenterprise.com,www.dezzenterprise.com,3,3,2,21KCHX,apply
KCHZ,NYCEEC,K,22,Little Hands Creative Minds,,7186762947,4111 Avenue J,11210,1,Flatlands,16,1001930,167954,lhcm718@gmail.com,www.daviduniversecity.org,3,3,1,22KCHZ,apply
KCIA,NYCEEC,K,17,Effie B.S Early Childhood Development Center Corp.,,7187355500,1171 Eastern Parkway,11213,1,Crown Heights North,36,1003775,182919,effieb.center@gmail.com,www.effieskids.com,3,7,1,17KCIA,apply
KCIC,NYCEEC,K,18,"Little Einsteins of Canarsie, LLC",,7182515000,8413 Avenue K,11236,1,Canarsie,90,1010233,170388,nbokhour@aol.com,www.learningcenter.cc,2,3,1,18KCIC,apply
KCIE,NYCEEC,K,20,Bnos Chaya,<p><strong> Enhanced Language Support</strong>: Yiddish</p><p><strong> Alert: </strong>Program may utilize flexible scheduling policy. Please contact program directly for details about pre-K schedule.</p>,7188511212,4511 14th Avenue,11219,1,Borough Park,20,987663,170919,draizy102@gmail.com,n/a,7,3,1,20KCIE,apply
KCII,NYCEEC,K,14,Kings Bay Y at North Williamsburg,,7184076388,14 Hope Street,11211,1,North Side-South Side,20,996074,199312,ifriedman@northwilliamsburgy.org,www.northwilliamsburgy.org,5,2,1,14KCII,apply
KCIL,NYCEEC,K,32,Urban Strategies Child Care,,7182356151,1405 Bushwick Avenue,11207,1,Bushwick South,18,1009313,188731,usheadstart1@aol.com,www.urbanstrategies.org,3,6,2,32KCIL,apply
KCIM,NYCEEC,K,15,Brooklyn Explorers Academy,,8556876923,110 Schermerhorn Street,11201,1,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,20,987250,190721,info@brooklynexplorersacademy.com,www.brooklynexplorersacademy.com,7,7,1,15KCIM,apply
KCIO,NYCEEC,K,17,Honeydew Drop Playhouse,,7189412177,1113 Church Avenue,11218,1,Flatbush,14,992823,175026,honeydewplayhouse@gmail.com,www.honeydewdrop.com,2,1,1,17KCIO,apply
KCIS,NYCEEC,K,19,Greater Bright Light Learning Center,,7182352003,1320 Sutter Avenue,11208,1,East New York,20,1020537,184559,gzellars@gblmbc.com,n/a,3,2,2,19KCIS,apply
KCIW,NYCEEC,K,20,IP Kids Montessori,,7186331178,850 50th Street,11220,1,Sunset Park East,87,983529,172604,james.lee@ipkids.com,www.ipkids.com,2,3,1,20KCIW,apply
KCIX,NYCEEC,K,21,IP Kids,,7186217818,2631 86th Street,11223,1,Bensonhurst East,80,988587,156500,james.lee@ipkids.com,www.ipkids.com,2,3,1,21KCIX,apply
KCIY,NYCEEC,K,21,"Ronomoza, Inc. / The Learning Experience",<p><strong> Alert: </strong>Program may utilize flexible scheduling policy. Please contact program directly for details about pre-K schedule.</p>,7186277340,412 Kings Highway,11223,1,Bensonhurst East,36,991249,159503,brooklyn@tlecorp.com,brooklyn.tlechildcare.com,3,3,1,21KCIY,apply
KCIZ,NYCEEC,K,20,Al Madinah School Site 2,<p><strong> Alert: </strong>Program may utilize flexible scheduling policy. Please contact program directly for details about pre-K schedule.</p>,7182224986,2015 64th Street,11204,1,Bensonhurst West,35,988534,163970,almadinahinfo@gmail.com,www.almadinah-school.com,2,2,2,20KCIZ,apply
KCJC,NYCEEC,K,17,Blue Star Day Care Center,,7187030009,2217 Caton Avenue,11226,1,Prospect Lefferts Gardens-Wingate,36,996244,177105,bluestarofnewyork@gmail.com,n/a,3,6,1,17KCJC,apply
KCJF,NYCEEC,K,18,Clarkson Early Childhood Center,,7186493488,8801 Glenwood Road,11236,1,Canarsie,18,1009500,172767,8801cecc@gmail.com,n/a,7,6,1,18KCJF,apply
KCJG,NYCEEC,K,18,Coconut Grove Childhood Education Center,,9176201124,9522 Avenue A,11236,1,Rugby-Remsen Village,21,1008038,177431,leslie-annmason@msn.com,www.thecoconutgrove.org,5,9,3,18KCJG,apply
KCJH,NYCEEC,K,19,"A Castle For Classy Kids Learning Center, Inc.",,3477508154,2570 Pitkin Avenue,11208,1,East New York,36,1018250,185075,acastle4classykids@gmail.com,n/a,3,7,1,19KCJH,apply
KCJK,NYCEEC,K,20,LPBC Day Care,,7186215458,7524 14th Avenue,11228,1,Dyker Heights,16,982741,164716,llv9005@msn.com,www.lpbcdaycareupk.webs.com,5,7,1,20KCJK,apply
KCJM,NYCEEC,K,21,"Circle, Triangle, Square Daycare, Inc.",<p><strong> Alert: </strong>Program may utilize flexible scheduling policy. Please contact program directly for details about pre-K schedule.</p>,7183732234,2720 86th Street,11223,2,Bensonhurst East,36,989391,155854,shwnisaac@circletrianglesquaredaycare.com,www.circletrianglesquaredaycare.com,3,3,1,21KCJM,apply
KCJN,NYCEEC,K,20,Stillwell Avenue Prep School,<p><strong> Alert: </strong>Program may utilize flexible scheduling policy. Please contact program directly for details about pre-K schedule.</p>,7182323628,6420 Bay Parkway,11204,1,Bensonhurst West,64,989525,163074,stillwellprep@yahoo.com,n/a,3,7,1,20KCJN,apply
KCJO,NYCEEC,K,17,Aim High Childrens Services,"<p><strong>Alert</strong>: If your child has an IEP recommending Related Services and/or SEIT, contact the program directly for more information before applying.</p>",7188531750,83 Marlborough Road,11226,1,Flatbush,48,993769,175357,jobs@aimhighchild.org,www.aimhighchild.org,5,3,2,17KCJO,apply
KCJQ,NYCEEC,K,22,Initial Steps Child Development Center,,7184342805,3003 Glenwood Road,11210,1,Flatbush,20,998790,170270,initialstepscdc@yahoo.com,n/a,3,7,1,22KCJQ,apply
KCJR,NYCEEC,K,22,A To Z Day Care Center,<p><strong> Alert: </strong>Program may utilize flexible scheduling policy. Please contact program directly for details about pre-K schedule.</p>,7183681234,3053 Avenue U,11229,1,Madison,29,1001767,158237,jaynelipkovich@gmail.com,www.a2zdaycare.com,3,3,1,22KCJR,apply
KCJS,NYCEEC,K,22,Yeshiva Torah Vodaath,<p><strong> Alert: </strong>Program may utilize flexible scheduling policy. Please contact program directly for details about pre-K schedule.</p>,7189418000,452 East 9th Street,11218,1,Kensington-Ocean Parkway,36,992691,171590,blipsky@torahvodaath.org,n/a,7,3,2,22KCJS,apply
KCJT,NYCEEC,K,22,Kaleidoscope Early Childhood Develepment Center,<p><strong> Enhanced Language Support</strong>: Russian</p>,9176524422,480 Stratford Road,11218,1,Flatbush,43,993308,171231,ecdckaleidoscope@aol.com,www.ecdckaleidoscope.org,7,7,1,22KCJT,apply
KCJX,NYCEEC,K,19,MOHDC- Smart Start,,7184858500,533 Blake Avenue,11207,1,East New York (Pennsylvania Ave),108,1012208,182369,rayed@mohdc.com,www.mohdcsmartstart.com,3,7,1,19KCJX,apply
KCJY,NYCEEC,K,20,Angel Early Childhood Development Center,,7182590888,1436 67th Street,11219,1,Bensonhurst West,32,984349,166231,angeldaycare67@gmail.com,n/a,7,7,1,20KCJY,apply
KCJZ,NYCEEC,K,22,COPO Pre-K Program,,7184343266,1083 Coney Island Avenue,11230,1,Flatbush,18,993567,169181,mrazvi@copousa.org,www.copousa.org,3,3,2,22KCJZ,apply
KCKB,NYCEEC,K,14,Bushwick United Development Fund,<p><strong> Enhanced Language Support</strong>: Spanish</p><p><strong> Alert: </strong>Program may utilize flexible scheduling policy. Please contact program directly for details about pre-K schedule.</p><p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,7183883433,243 South 2nd Street,11211,1,North Side-South Side,29,995867,198616,arocho.jessica@gmail.com,www.bushwickunited.org,5,3,1,14KCKB,apply
KCKC,NYCEEC,K,18,Alpha Christian Academy,<p><strong> Alert: </strong>Program may utilize flexible scheduling policy. Please contact program directly for details about pre-K schedule.</p>,7182720505,921 East 107th Street,11236,1,Canarsie,20,1014028,175352,alphachristiandaycare921@gmail.com,www.alphachristianacademy.com,3,6,1,18KCKC,apply
KCKG,NYCEEC,K,19,Rockgate Day Care Center 1,,7188271234,770-784 Glenmore Aveue,11208,1,East New York,25,1017045,185324,rockgatedaycarellc@gmail.com,www.rockgatedaycarecenterllc.com,3,6,1,19KCKG,apply
KCKK,NYCEEC,K,16,992 Gates Avenue,,7184839553,992 Gates Avenue,11221,3,Stuyvesant Heights,32,1005414,190416,adaptivesolutions1@gmail.com,n/a,5,9,2,16KCKK,Info
KCKU,NYCEEC,K,22,Promise World Day Care,<p><strong> Alert: </strong>Program may utilize flexible scheduling policy. Please contact program directly for details about pre-K schedule.</p>,7187432828,1968 Ocean Avenue,11230,1,Midwood,28,996959,163047,yelena011@gmail.com,www.promiseworlddaycare.com,3,3,1,22KCKU,apply
KCKV,NYCEEC,K,15,Little Nest Preschool,,7184840033,511 Church Avenue,11218,1,Kensington-Ocean Parkway,18,991058,174078,info@littlenestpreschool.com,www.littlenestpreschool.com,5,6,1,15KCKV,apply
KCKY,NYCEEC,K,14,Queen of The Rosary Catholic Academy,,7183887992,11 Catherine Street,11211,1,East Williamsburg,36,1001608,199144,marian_hernandez@verizon.net,www.queenoftherosarybrooklyn.org,2,9,1,14KCKY,apply
KCKZ,NYCEEC,K,22,"A2Z Kidz Center, LLC",,7184839999,190 Exeter Street,11235,1,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,40,998598,149838,jaynelipkovich@gmail.com,www.a2zhappyland.com,3,3,1,22KCKZ,apply
KCLC,NYCEEC,K,13,Sunny Skies Preschool,<p><strong> Enhanced Language Support</strong>: Spanish</p><p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,9173378003,720 Washington Avenue,11238,1,Prospect Heights,49,994376,185675,paola@sunnyskiespreschool.com,www.sunnyskiespreshool.com,5,9,1,13KCLC,apply
KCLD,NYCEEC,K,15,Sunny Skies Prospect Corp.,<p><strong> Enhanced Language Support</strong>: Chinese</p><p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,7183724665,969 43rd Street,11219,1,Sunset Park East,19,985353,173490,info@sunnyskiespreschool.com,n/a,5,9,1,15KCLD,apply
KCLE,NYCEEC,K,18,"Faces of The Future Early Learning Center, LLC",,7186180061,1080 Utica Avenue,11203,1,East Flatbush-Farragut,40,1003715,174898,upk21080@gmail.com,n/a,5,9,1,18KCLE,apply
KCLF,NYCEEC,K,18,"Ira's Daycare and Preschool III, Inc.",,7186187330,900 Lenox Road,11203,1,Rugby-Remsen Village,54,1004740,178142,lindapinkhasov@gmail.com,n/a,2,7,1,18KCLF,apply
KCLH,NYCEEC,K,21,Neshama Preschool,<p><strong> Enhanced Language Support</strong>: Hebrew</p>,7189469833,723 Avenue Z,11223,1,Gravesend,20,993318,152974,neshama1inc@gmail.com,www.neshamapreschool.com,5,9,1,21KCLH,apply
KCLI,NYCEEC,K,20,"Yeshivat Beth Hillel of Krasna, Inc.",<p><strong> Enhanced Language Support</strong>: Yiddish</p>,7184383535,1360 42nd Street,11219,1,Borough Park,36,987947,171759,duvivogel@gmail.com,n/a,3,3,2,20KCLI,apply
KCLM,NYCEEC,K,19,Trey Whitfield School,<p><strong> Alert: </strong>Program may utilize flexible scheduling policy. Please contact program directly for details about pre-K schedule.</p>,7183427722,17 Hinsdale Street,11207,1,East New York (Pennsylvania Ave),54,1011576,185198,jwhitney@treywhitfieldschool.org,n/a,5,9,1,19KCLM,apply
KCMA,NYCEEC,K,20,Seeds of Unity,,3477156545,5816 13th Avenue,11219,1,Borough Park,20,984938,168745,seedsofunity@gmail.com,n/a,5,9,2,20KCMA,apply
KCME,NYCEEC,K,17,BKA Utica,,7189539011,250 Utica Avenue,11213,1,Crown Heights North,20,1003388,183420,office@brooklynkidsny.org,n/a,5,9,1,17KCME,apply
KCMK,NYCEEC,K,15,"Brooklyn Treehouse Preeschool, Inc.",,7184991234,639 4th Avenue,11232,1,Park Slope-Gowanus,30,985738,181083,lisa@brooklyntreehousepreschool.com,www.brooklyntreehousepreschool.com,7,3,1,15KCMK,apply
KCML,NYCEEC,K,18,Bryan's Educational Center,,7182826944,3922 Church Avenue,11203,1,East Flatbush-Farragut,36,1000713,176545,bryansdaycare@aol.com,www.bryanseducationalcenter.com,5,9,1,18KCML,apply
KCMN,NYCEEC,K,15,Early Childhood Development Center Kaleidoscope,,7184361421,165 Prospect Park Southwest,11218,1,Windsor Terrace,12,991688,177680,ecdckaleidoscope@aol.com,www.ecdckaleidoscope.org,3,6,1,15KCMN,apply
KCMT,NYCEEC,K,16,Glorious and Gifted Early Childhood Center Inc.,<p><strong> Alert: </strong>Program may utilize flexible scheduling policy. Please contact program directly for details about pre-K schedule.</p>,7188120426,421 Throop Avenue,11221,1,Stuyvesant Heights,20,1000330,190107,esther@gloriousngifted.com,www.gloriousngifted.com,3,7,1,16KCMT,apply
KCMV,NYCEEC,K,21,ABC Plus,,3477026868,1018 Banner Avenue,11235,1,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,12,995441,151867,vbobvb144@msn.com,www.abcplusdaycare.com,5,9,1,21KCMV,apply
KCMZ,NYCEEC,K,22,Free Greek Community of the Three Hierarchs,,7183390280,1720 Avenue P,11229,1,Madison,48,996357,161751,vur501@aol.com,n/a,5,9,2,22KCMZ,apply
KCNA,NYCEEC,K,22,"The Friends of Crown Heights Educational Centers, Inc.",,7186388686,2809 Newkirk Avenue,11226,1,Erasmus,36,998092,172410,davis@foch.biz,www.fochdaycare.org,5,9,1,22KCNA,apply
KCNF,NYCEEC,K,22,Itty Bitty Adventures Preschool,,7183754700,3416 Avenue S,11234,1,Georgetown-Marine Park-Bergen Beach-Mill Basin,16,1002963,161130,pattiemerhej@ittybittyadventures.com,www.ittybittyadventures.com,5,9,1,22KCNF,apply
KCNH,NYCEEC,K,20,Kiddieprise-1520 86th Street,,7182321936,1520 86th Street,11228,1,Bath Beach,18,981742,161919,kiddieprise@gmail.com,www.purplecrayonny.com,7,7,1,20KCNH,apply
KCNK,NYCEEC,K,21,Learn and Explore,<p><strong> Enhanced Language Support</strong>: Russian</p><p><strong> Alert: </strong>Program may utilize flexible scheduling policy. Please contact program directly for details about pre-K schedule.</p>,7185133600,330 Neptune Avenue,11235,1,Brighton Beach,54,993923,150894,alex@learnandexplore1.com,www.learnandexplore1.com,3,7,1,21KCNK,apply
KCNN,NYCEEC,K,20,"Little Brilliant Minds, Inc.",,7182346463,5916 20th Avenue,11204,1,Borough Park,15,989122,165092,littlebrilliantminds@gmail.com,www.littlebrilliantminds.com,5,9,1,20KCNN,apply
KCNP,NYCEEC,K,20,Little Sunshine Preschool,,3479211815,1815 85th Street,11214,1,Bensonhurst West,55,983907,160568,nylittlesunshinepreschool@gmail.com,n/a,5,9,2,20KCNP,apply
KCNU,NYCEEC,K,18,Learning Zone,,7188202442,1729 Rockaway Parkway,11236,1,Canarsie,12,1013156,172223,learningzonechildcare@gmail.com,www.learningzonekids.com,5,9,1,18KCNU,apply
KCNW,NYCEEC,K,20,Okie Dokie Day Care,,7186802618,1002 65th Street,11219,1,Dyker Heights,47,982093,168711,okiedokiedaycare@gmail.com,n/a,7,6,2,20KCNW,apply
