LOCCODE,PREK_TYPE,BOROUGH,DISTRICT,NAME,NOTE,PHONE,ADDRESS,ZIP,DAY_LENGTH,AREA_NAME,SEATS,X,Y,EMAIL,WEBSITE,MEALS,INDOOR_OUTDOOR,EXTENDED_DAY,SEMS_CODE
KBCA,NYCEEC,K,14,Babove 32,,(347) 943-6353,799 Kent Avenue,11205,1,Bedford,15,995423,193179,Henniebeabove@gmail.com,,3,7,2,14KBCA
KBCT,NYCEEC,K,17,P B Children's Academy,,(917) 969-3989,3504 Church Avenue,11203,1,East Flatbush - Farragut,72,999640,176429,Massogona@aol.com,,3,7,1,17KBCT
KBCV,NYCEEC,K,13,"Tabernacle Church of God Day Care Center, Inc",,(718) 638-3209,34 Kosciuszko Street,11205,3,Bedford,60,997107,190731,tabernacleupk@verizon.net,,3,7,1,13KBCV
KBCZ,NYCEEC,K,19,Pine Street Day Care,,(718) 235-1150,374 Pine Street,11208,1,East New York,58,1019911,185772,pinestreetdaycarecenter@verizon.net,,7,3,1,19KBCZ
KBDA,NYCEEC,K,19,Urban Strategies 1,,(718) 235-6151,1091 Sutter Avenue,11208,1,East New York,119,1018065,184170,usheadstart1@aol.com,,3,7,2,19KBDA
KBDC,NYCEEC,K,19,Cypress Hills CCC,,(718) 647-5005,108 Pine Street,11208,1,Cypress Hills - City Line,38,1019317,188487,Jeromebass@yahoo.com,cypresshillschildcare.org,3,7,1,19KBDC
KBDJ,NYCEEC,K,22,Cortelyou Academy,,(718) 421-9581,2739 Bedford Avenue,11210,1,Flatbush,18,997245,170999,sfrancis@mycecc.com,mycecc.com,5,9,3,22KBDJ
KBDN,NYCEEC,K,18,"Raven's Early Childhood Center, Inc.",,(718) 927-2316,1102 East 92nd Street,11236,1,Canarsie,69,1010240,173314,info@ravensschool.org,ravensschool.org,3,2,1,18KBDN
KBDT,NYCEEC,K,17,Mary Bobb Learning Academy,,(718) 604-4400,1187 Nostrand Ave,11225,1,Prospect  - Lefferts Grdn - Wingate,91,998081,179139,MaryBobbLearningAcademy@gmail.com,marybobb.com,3,2,1,17KBDT
KBDX,NYCEEC,K,15,B.Above Worldwide Institute - Tomer Devorah,,(347) 402-5734,4500 9 Ave,11220,1,Sunset Park East,30,984552,173372,cklein@babove.com,,3,5,1,15KBDX
KBEB,NYCEEC,K,32,New Life Child Development Center 4,,(718) 366-1668,1307 Greene Avenue,11237,1,Bushwick North,74,1006606,193748,lilibeth_1307@hotmail.com,,3,2,1,32KBEB
KBEP,NYCEEC,K,15,Brooklyn Chinese American Association Day Care,,(718) 851-0869,713 43rd Street,11232,1,Sunset Park East,93,983895,174718,acs@bca.net,bca.net,3,6,1,15KBEP
KBEQ,NYCEEC,K,19,Brooklyn Developmental Center,,(718) 235-8800,888 Fountain Avenue,11208,1,East New York,17,1021619,178530,shayswann@aol.com,,3,3,1,19KBEQ
KBES,NYCEEC,K,32,Bushwick United HDFC 6,,(718) 453-5500,200 Central Avenue,11221,1,Bushwick South,64,1004804,193693,REGINAR@BUSHWICKUNITED.ORG,bushwickunited.org,3,2,1,32KBES
KBEZ,NYCEEC,K,17,Friends of Crown Heights Educational Center #11,,(929) 234-5010,995 Carroll Street,11225,1,Crown Heights South,57,996138,182583,Vgbenedio@foch.biz,fochdaycare.org,3,3,1,17KBEZ
KBFC,NYCEEC,K,23,Shirley Chisholm Child Care Center Site 4 Somers,,(718) 498-6200,33 Somers Street,11233,1,Ocean Hill,36,1008674,186600,shirleychisholmdcc4@live.com,,3,7,2,23KBFC
KBFD,NYCEEC,K,22,Saint Marks,,(718) 287-7300,2017 Beverley Road,11226,1,Flatbush,114,995491,174312,adenis@stmarksheadstart.org,stmarksheadstart.org,3,3,2,22KBFD
KBFN,NYCEEC,K,15,Strong Place for Hope Day Care Center- 2nd Street,,(718) 499-0747,333 2nd Street,11215,1,Park Slope - Gowanus,27,988821,184821,strongplaceforhope2@hotmail.com,strongplaceforhopedaycare.com,3,6,1,15KBFN
KBFQ,NYCEEC,K,15,Saint Andrews Community Day Care,,(718) 492-9678,4917 Fourth Avenue,11220,1,Sunset Park West,20,980895,174833,jgraciano@lmcmc.com; mfabian@lmcmc.com,lutheranhealthcare.org/Main/StAndrewsCommunityDayCare.aspx,2,7,1,15KBFQ
KBGB,NYCEEC,K,32,Traditional Educational Center,,(718) 443-2577,1469B Broadway,11221,1,Bushwick South,29,1006823,189849,traditional1469@verizon.net,,3,2,1,32KBGB
KBGC,NYCEEC,K,20,Yeled V'Yalda,,(718) 514-8930,1377 42nd Street,11219,3,Borough Park,17,988159,171649,rherbst@yeled.org,yeled.org,6,6,1,20KBGC
KBGI,NYCEEC,K,15,Yeled V' Yalda 1257,,(718) 514-8712,1257 38th Street,11218,3,Borough Park,110,988054,173072,mhorowitz@yeled.org,yeled.org,3,3,1,15KBGI
KBGJ,NYCEEC,K,20,Mevakshei Hashem,,(718) 435-8900,550 Ocean Parkway,11226,1,Kensington - Ocean Parkway,36,991727,170485,pschiff@mevakshai.org,,7,6,1,20KBGJ
KBGP,NYCEEC,K,18,Great Oaks Academy,,(718) 915-3015,4718 Farragut Road,11203,1,East Flatbush-Farragut,54,1003385,171412,rayed@mohdc.com,mohdcsmartstart.com,5,9,3,18KBGP
KBGS,NYCEEC,K,19,Urban Strategies 5 - Georgia L. Mcmurray ECDC,,(718) 235-1215,675 Lincoln Avenue,11208,1,East New York,40,1021389,184414,usdaycare3@optimum.net,childcarecenter.us ,3,6,1,19KBGS
KBGU,NYCEEC,K,32,New Life Child Development Center 1,,(718) 821-3432,295 Woodbine Street,11237,1,Bushwick North,65,1008316,192998,snewlife1@gmail.com,,3,7,1,32KBGU
KBGY,NYCEEC,K,32,"Kreative Kare Day Care Center, Inc.",,(718) 386-3242,292 Palmetto Street,11237,1,Bushwick North,20,1008189,193091,kreativekare@aol.com,,7,8,1,32KBGY
KBIE,NYCEEC,K,17,All My Children Day Care Site 16,,(718) 493-1100,739 East New York Avenue,11203,1,Prospect  - Lefferts Grdn - Wingate,18,1001497,180679,ckratz@amcearlylearn.com,,3,6,1,17KBIE
KBIS,NYCEEC,K,20,"Yeled V'Yalda ECC, Inc.",,(718) 514-8980,600 Mcdonald Ave,11218,3,Kensington - Ocean Parkway,45,989993,172288,Blemmer@yeled.org,yeled.org,5,9,3,20KBIS
KBJE,NYCEEC,K,17,Be Above 37,,(718) 774-4131,570 Crown Street,11213,1,Crown Heights South,60,1001038,181711,uly@yttl.org,,3,7,1,17KBJE
KBJF,NYCEEC,K,14,Cooper Park Child Care Center,,(718) 389-5959,292 Frost Street,11222,1,East Williamsburg,14,1000976,201113,cooperpark@e-s-s.org,essnyc.org/ece,3,7,1,14KBJF
KBJG,NYCEEC,K,17,All My Children Day Care 13 - Ford,,(929) 234-2306,36 Ford Street,11213,1,Crown Heights South,3,1003841,181391,ysuyunov@amcearlylearn.com,allmychildrendaycare.com,3,3,2,17KBJG
KBJH,NYCEEC,K,17,All My Children Day Care 10,,(718) 576-6812,420 Lefferts Avenue,11225,1,Prospect  - Lefferts Grdn - Wingate,54,998876,180599,info@allmychildrendaycare.com,allmychildrendaycare.com,3,7,1,17KBJH
KBJI,NYCEEC,K,14,Marcy Children's Center,,(718) 855-7252,494 Marcy Avenue,11206,1,Bedford,20,998055,193639,betinolr@e-s-s.org,,3,7,1,14KBJI
KBJJ,NYCEEC,K,16,LSSMNY: Early Life Children's Center 8,,(347) 689-8303,265 Marcus Garvey Boulevard,11221,1,Stuyvesant Heights,78,1001191,190131,SALLEYNE@LSSNY.ORG,early-life.org,3,1,1,16KBJJ
KBJL,NYCEEC,K,23,Saratoga - Morris Koppelman Center,,(718) 345-6666,774 Saratoga Avenue,11212,1,Brownsville,40,1007616,180367,SAndrews@sco.org,sco.org,3,3,1,23KBJL
KBJO,NYCEEC,K,20,"Yeled V'Yalda ECC, Inc.",,(718) 854-6922,1349/53 50th Street,11219,3,Borough Park,44,986692,170199,Sschwartz@yeled.org,,3,3,1,20KBJO
KBJP,NYCEEC,K,19,PAL Arnold and Marie Schwartz Early Learn Center,,(718) 342-4724,452 Pennsylvania Avenue,11207,1,East New York,49,1013469,181965,ARudder@palnyc.org,palnyc.org,3,3,1,19KBJP
KBJQ,NYCEEC,K,19,Friends of Crown Heights Educational Center,,(929) 234-2866,921 Hegeman Avenue,11208,1,East New York,53,1017772,181780,bobb@foch.biz,fochdaycare.org,3,4,1,19KBJQ
KBJR,NYCEEC,K,19,Friends of Crown Heights 19,,(929) 234-2838,370 New Lots Avenue,11207,1,East New York,61,1013858,180317,CSORIANO8@YAHOO.COM,FOCHDAYCARE.ORG,3,3,1,19KBJR
KBJS,NYCEEC,K,17,Friends of Crown Heights 10,,(929) 234-2821,1491 Bedford Avenue,11216,1,Crown Heights North,51,996876,183970,Alexander@fochdaycare.org,fochdaycare.org,3,3,1,17KBJS
KBJU,NYCEEC,K,23,Shirley Chisholm Day Care Center Site 5 Advent Center,,(718) 452-1200,265 Sumpter Street,11233,1,Ocean Hill,20,1007906,187363,advent265@aol.com,,3,3,2,23KBJU
KBJW,NYCEEC,K,23,YWCA-NYC Brownsville Early Learning Center,,(718) 342-2905,1592 East New York Avenue,11212,1,Brownsville,9,1009505,184191,aalexander@ywcanyc.org,ywcanyc.org,3,7,1,23KBJW
KBJZ,NYCEEC,K,23,Saratoga II - Shirley Chisholm Center,,(718) 443-4100,69 Saratoga Avenue,11233,1,Ocean Hill,89,1007192,188674,ddavidson@sco.org,sco.org,3,7,1,23KBJZ
KBKB,NYCEEC,K,15,Strong Place for Hope Day Care Center - Atlantic,,(718) 522-1351,460 Atlantic Avenue,11217,1,Dumbo - Vingr Hl - Dwntn Brkl - Boerm Hl,32,988947,189201,Jrogers775@gmail.com,strongplaceforhopedaycare.com,3,3,1,15KBKB
KBKC,NYCEEC,K,19,Friends of Crown Heights 16,,(929) 234-2870,668 Logan Street,11208,1,East New York,50,1018892,183179,gdublin4@foch.biz,fochdaycare.org,3,4,1,19KBKC
KBKE,NYCEEC,K,32,LSSMNY: Early Life Children's Center 9,,(718) 443-4500,1175 Gates Avenue,11221,1,Bushwick South,71,1006405,191310,lsingh@lssny.org,lssny.org,3,1,1,32KBKE
KBKF,NYCEEC,K,14,Williamsburg CCC,,(347) 943-7682,110 Taylor Street,11249,1,Williamsburg,14,994313,196216,donatod@e-s-s.org,essny.org,3,7,1,14KBKF
KBKH,NYCEEC,K,14,Bushwick United HDFC 9,,(347) 497-3676,741 Flushing Avenue,11206,1,Bedford,29,1000023,194589,741flushing@gmail.com; ROBYNCONCEPCION@GMAIL.COM,bushwickunited.org/,3,8,2,14KBKH
KBKJ,NYCEEC,K,15,Strong Place for Hope Day Care Center- Clinton St.,,(718) 624-2993,595 Clinton Street,11231,1,Carroll Grdns - Columbia - Red Hook,39,983837,185141,strongplace@hotmail.com,strongplaceforhopedaycare.com,3,3,1,15KBKJ
KBKK,NYCEEC,K,16,Friends of Crown Heights 29,,(718) 778-1498,1435 Prospect Place,11213,1,Crown Heights North,42,1003982,184593,saunders@foch.biz,fochdaycare.org,7,3,2,16KBKK
KBKP,NYCEEC,K,17,All My Children # 11,,(718) 576-6812,317 Rogers Avenue,11225,1,Crown Heights South,47,997157,181800,info@amcearlylearn.com,allmychildrendaycare.com,3,7,1,17KBKP
KBKU,NYCEEC,K,19,Friends of Crown Heights 15,,(929) 234-2850,2505 Pitkin Avenue,11208,1,East New York,33,1017610,185022,Checa2505@gmail.com,FOCHDaycare.org,7,3,1,19KBKU
KBKW,NYCEEC,K,15,Baais Yaakov Faigeh of Schonberger of Adas Yereim,,(718) 435-5111,1169 43rd Street,11219,3,Borough Park,36,986662,172538,yleifer@adasyereim.org,,3,3,1,15KBKW
KBKY,NYCEEC,K,17,"Infant and Child Learning Center, The",,(718) 675-1249,670 Parkside Avenue,11226,1,Prospect  - Lefferts Grdn - Wingate,18,997762,178269,Margot.Sigmone@Downstate.edu,iclcdownstate.com,3,3,1,17KBKY
KBLA,NYCEEC,K,17,"The Little Darlings Day Care Center, Inc.",,(718) 469-6207,1531 Nostrand Avenue,11226,1,Erasmus,18,998366,175635,morrisdaycare@optimum.net,,5,9,3,17KBLA
KBLB,NYCEEC,K,19,Friends of Crown Heights 18,,(929) 234-2955,851 Liberty Avenue,11208,1,East New York,35,1018073,186044,dkny5107@aol.com,fochdaycare.org,7,3,1,19KBLB
KBLF,NYCEEC,K,13,"Bambi Day Care Center, Inc.",,(718) 771-1603,138 Hancock Street,11216,1,Bedford,20,998021,187871,bambicare@gmail.com,bambidcc.com,3,8,1,13KBLF
KBLI,NYCEEC,K,13,Young Minds Day Care Center,,(718) 622-8622,972 Fulton Street,11238,1,Clinton Hill,20,994766,187859,msmith@fortgreenecouncil.org,facebook.com/FGCYoungMinds,3,4,1,13KBLI
KBLJ,NYCEEC,K,17,"Community Parents, Inc.",,(718) 221-2531,60 East 93rd Street,11212,1,Rugby - Remsen Village,58,1004240,180994,clairewflor12@optonline.net,,3,7,1,17KBLJ
KBLK,NYCEEC,K,13,Bedford Stuyvesant ECDC 5Q,,(718) 453-0788,5 Quincy Street,11238,3,Clinton Hill,38,995035,189232,charlesm@bsecdc.org,,3,2,2,13KBLK
KBLL,NYCEEC,K,13,Northside Center for Child Development,,(347) 505-5517,44-60 Rockwell Place,11201,1,Fort Greene,20,989926,190175,drobinson@norhtsidecenter.org,northsidecenter.org,3,7,2,13KBLL
KBLM,NYCEEC,K,13,"Salvation Army, Bedford",,(718) 552-2690,110 Kosciusko St,11216,1,Bedford,116,997939,190854,Sarah.Fay@USE.SalvationArmy.Org,ny.salvationarmy.org/GreaterNewYork/daycare-programs,3,3,1,13KBLM
KBLP,NYCEEC,K,32,Grand Street Settlement Dual #3,,(718) 381-8900,319 Stanhope Street,11237,1,Bushwick North,40,1006862,195405,rebecarodriguez@grandsettlement.org,grandsettlement.org,3,2,2,32KBLP
KBLS,NYCEEC,K,14,Sumner Children's Center,,(718) 455-3471,860 Park Avenue,11206,1,Stuyvesant Heights,29,1000711,193640,ejaffe@bksny.org,bksny.org,3,7,1,14KBLS
KBLT,NYCEEC,K,14,Tompkins Children's Center,,(718) 782-9140,730 Park Avenue,11206,1,Bedford,33,999230,193457,mthompson@bksny.org,bksny.org,2,7,1,14KBLT
KBLU,NYCEEC,K,14,Stagg Street Center for Children,,(718) 388-1395,77 Stagg Street,11206,1,East Williamsburg,70,998837,197692,daycare77@aol.com,,3,3,1,14KBLU
KBLW,NYCEEC,K,14,Bushwick United HDFC 4,,(347) 269-8152,178 Leonard Street,11206,1,East Williamsburg,21,998991,198004,catherinel@bushwickunited.org,Bushwickunited.org,3,2,2,14KBLW
KBLY,NYCEEC,K,14,Graham Child Care Center,,(718) 387-9482,222 Graham Avenue,11206,1,Bushwick South,40,999969,197833,grahamchildcare@verizon.net,colonysouth.org,3,7,2,14KBLY
KBMA,NYCEEC,K,14,Tiferes Bnos.,,(718) 599-2900,80 Skillman Street,11205,3,Bedford,40,996008,192887,bailar@tiferesbnos.org,,5,9,3,14KBMA
KBMB,NYCEEC,K,32,Audrey Johnson DCC,,(718) 574-0130,272 Moffat Street,11207,1,Bushwick North,74,1010815,190492,audreyjo272@aol.com,lifetech.org,2,3,2,32KBMB
KBMC,NYCEEC,K,14,Small World,,(718) 963-0330,211 Ainslie Street,11211,1,East Williamsburg,40,999340,199081,mrochford@stnicksalliance.org,,3,3,1,14KBMC
KBME,NYCEEC,K,14,Nuestros Ninos DCC II,,(718) 218-8275,243 South 2nd Street,11211,1,North Side - South Side,28,995956,198655,NuestrosNinosCDS@aol.com,,2,7,1,14KBME
KBMG,NYCEEC,K,14,Williamsburg Northside Pre-School,,(718) 599-7300,299 North 7th Street,11211,3,North Side - South Side,58,997350,199773,tsmith@willnorth.org,willnorth.org,8,4,2,14KBMG
KBMM,NYCEEC,K,20,Brooklyn Chinese-American Association,,(718) 438-0008,812 54th Street,11220,1,Sunset Park East,85,982644,171900,Upk@bca.net,bca.net,3,8,2,20KBMM
KBMN,NYCEEC,K,15,Brooklyn Free Space,,(718) 965-3135,298 Sixth Avenue,11215,3,Park Slope - Gowanus,27,989580,184175,stacy.roupas@brooklynfreespace.org,brooklynfreespace.org,8,2,1,15KBMN
KBMO,NYCEEC,K,15,Chick Peas Child Care,,(347) 878-8732,451 7th Avenue,11215,1,Park Slope - Gowanus,12,988487,180754,admissions@chickpeas.org,chickpeas.org,5,7,2,15KBMO
KBMP,NYCEEC,K,15,Bay Ridge Child Care Center,,(718) 768-5030,314- 44TH Street,11220,1,Sunset Park West,60,981212,176356,Bayridgechildcare@twcmetrobiz.com,,3,8,2,15KBMP
KBMQ,NYCEEC,K,15,"Hanson Place Child Development Center, Inc.",,(718) 237-4303,55 Hanson Place,11217,1,Fort Greene,20,990971,189050,carol.brathwaite@yahoo.com,hansonplaceinc.com,5,2,1,15KBMQ
KBMU,NYCEEC,K,15,Ace Early Childhood Center,,(718) 439-0450,199 14th Street2nd Floor,11215,1,Park Slope - Gowanus,17,986915,182329,aguo@lmcmc.com,,3,2,1,15KBMU
KBMZ,NYCEEC,K,15,Warren Street Center,,(718) 237-9578,343 Warren Street,11201,1,Dumbo - Vingr Hl - Dwntn Brkl - Boerm Hl,26,986956,188923,nsingh@lmcmc.com,lutheranhealthcare.org/Main/WarrenStreetCenterforChildrenandFamilies.aspx,3,4,1,15KBMZ
KBNA,NYCEEC,K,15,Sunset Park Children's School,,(718) 439-3323,4616 4th Avenue,11220,1,Sunset Park West,18,981214,175525,mothergoose11232@gmail.com,sunsetparkchild.com,5,9,3,15KBNA
KBNB,NYCEEC,K,15,"Therapy and Learning Center, Inc.",,(718) 290-2750,1723 8th Avenue,11215,1,Windsor Terrace,32,988465,179376,sandee.bennett@tlckids.org,,5,9,3,15KBNB
KBNC,NYCEEC,K,15,Nesivos Bais Yaakov,,(718) 972-0804,1021 45TH STREET,11219,3,Sunset Park East,40,985463,172802,nbyupk@gmail.com,,7,8,1,15KBNC
KBNI,NYCEEC,K,16,Bedford-Stuyvesant ECDC,,(718) 453-0605,214 Stuyvesant Avenue,11221,1,Stuyvesant Heights,37,1002766,189860,rattanik@bsecdc.org,,3,6,2,16KBNI
KBNJ,NYCEEC,K,13,Bedford Stuyvesant ECDC 260,,(718) 453-0722,260 Jefferson Avenue,11216,3,Bedford,20,998867,188269,foxcasalk@bsecdc.org,,3,3,1,13KBNJ
KBNK,NYCEEC,K,13,Bedford Stuyvesant ECDC 262,,(718) 453-0760,262 Lexington Avenue,11216,3,Bedford,30,997668,189692,foxcasalk@bsecdc.org,,3,7,1,13KBNK
KBNL,NYCEEC,K,16,Bedford Stuyvesant ECDC 265,,(718) 455-5565,813 Hancock Street,11233,3,Stuyvesant Heights,48,1005651,189151,mimsd@bsecdc.org,,3,7,1,16KBNL
KBNN,NYCEEC,K,16,Bedford-Stuyvesant ECDC,,(718) 453-0681,971 Dekalb Avenue,11221,1,Stuyvesant Heights,20,1001863,191894,gonzalezt@bsecdc.org,,3,2,1,16KBNN
KBNP,NYCEEC,K,16,Community Parents Head Start,,(718) 771-4002,90 Chauncey Street,11233,1,Crown Heights North,30,1003712,187088,cycummings@optimum.net,,3,7,1,16KBNP
KBNR,NYCEEC,K,16,Mary McLeod Bethune Child Development Center,,(718) 455-5137,360 Pulaski Street,11206,1,Stuyvesant Heights,36,1001889,191976,marybethune360@gmail.com,marymcleodbethunechilddevelopmentcenter.com,3,3,1,16KBNR
KBNT,NYCEEC,K,16,Shirley Chisholm Day Care Center Site 1,,(718) 756-1721,2023 Pacific Street,11233,1,Ocean Hill,40,1006160,185664,scd2023@aol.com,,3,3,1,16KBNT
KBNU,NYCEEC,K,15,Stanley S. Lamm Institute Preschool,,(718) 237-8833,500 19th Street,11215,3,Windsor Terrace,16,988971,178479,acaccamo@lammpreschool.org,lammpreschool.org,4,3,1,15KBNU
KBNV,NYCEEC,K,17,Friends of Crown Heights #16,,(718) 778-8558,963 Park Place,11213,1,Crown Heights North,17,999342,184615,crafton34@gmail.com,,3,2,1,17KBNV
KBOA,NYCEEC,K,13,Our Children's Center,,(718) 260-5192,300 Jay Street Room G309,11201,1,Dumbo - Vingr Hl - Dwntn Brkl - Boerm Hl,25,987728,192587,jwallace@citytech.cuny.edu,,3,3,1,13KBOA
KBOB,NYCEEC,K,17,196 Albany Avenue DCC,,(718) 773-0071,196 Albany Avenue,11213,1,Crown Heights North,28,1001112,184847,albanydr19@aol.com,albanydaycare.org,3,3,2,17KBOB
KBOF,NYCEEC,K,17,Friends of Crown Heights 2,,(718) 638-8686,671 Prospect Place,11216,1,Crown Heights North,47,996962,185166,davis@fochdaycare.org,Fochdaycare.org,7,3,2,17KBOF
KBOI,NYCEEC,K,17,Joan Watkins Corp D/B/A Pre-School Minds DCC,,(718) 284-9392,3316-18 Church Avenue,11203,1,East Flatbush - Farragut,40,999222,176394,preschoolminds@verizon.et,,3,7,2,17KBOI
KBOL,NYCEEC,K,17,"Phebeana Preschool, Inc.",,(718) 284-8147,160 Parkside Avenue,11226,1,Flatbush,48,994507,177625,phebeanapreskool@aol.com,,7,6,1,17KBOL
KBON,NYCEEC,K,18,THE CHILDREN'S CENTER @ SUNY BROOKLYN,,(718) 221-6160,440 Lenox Road,11203,1,East Flatbush-Farragut,16,999615,177570,maryann.moran@downstate.edu,,5,9,3,18KBON
KBOP,NYCEEC,K,18,Traditional Day Care Center,,(718) 346-5777,1112 Winthrop Street,11212,1,Rugby - Remsen Village,24,1005640,180426,traditionalchild@aol.com,,3,6,1,18KBOP
KBOQ,NYCEEC,K,18,Yeled V' Yalda 407,,(718) 514-8712,407 East 53rd Street,11203,3,Rugby - Remsen Village,24,1004501,175992,mhorowitz@yeled.org,yeled.org,3,3,1,18KBOQ
KBOS,NYCEEC,K,32,John Coker DCC,,(718) 452-1414,1375 Bushwick Avenue,11207,1,Bushwick South,37,1009103,188988,JOHNCOKER75@AOL.COM,,2,3,1,32KBOS
KBOW,NYCEEC,K,18,Friends of Crown Heights,,(718) 284-2184,141 East 40th Street,11203,1,East Flatbush - Farragut,36,1000942,176919,saddler@foch.biz,fochdaycare.com,3,7,1,18KBOW
KBOZ,NYCEEC,K,19,Blake & Milford DCC,,(718) 277-2003,334 Milford Street,11208,1,East New York,16,1018537,183743,Blakeandmilforddaycare@yahoo.com,blakeandmilforddaycare.com,3,6,1,19KBOZ
KBPA,NYCEEC,K,19,Boulevard Nursery School,,(718) 649-2295,2150 Linden Boulevard,11207,1,East New York,20,1016595,180222,coraliehook@gmail.com,,3,8,1,19KBPA
KBPB,NYCEEC,K,18,Breukelen Early Childhood Development Center,,(718) 649-1463,717 East 105th Street,11236,1,Canarsie,34,1013270,175635,breukelendcc@verizon.net,,5,9,3,18KBPB
KBPC,NYCEEC,K,19,Marie Durdin Child Care Center,,(718) 647-4730,2700 Linden Boulevard,11208,1,East New York,20,1021815,182930,mariedurdinchildcare@msn.com,,3,3,1,19KBPC
KBPD,NYCEEC,K,19,Sylvia Klein Child Care Center,,(718) 647-2274,720 Euclid Avenue,11208,1,East New York,20,1019855,183139,sylviaklein.daycare@verizon.net,,3,4,2,19KBPD
KBPG,NYCEEC,K,19,Help I,,(718) 498-4002,515 Blake Avenue,11207,1,East New York,38,1011979,182425,cviruet@helpusa.org,helpusa.org,3,7,1,19KBPG
KBPI,NYCEEC,K,18,Breukelen Head Start,,(718) 649-2960,715 East 105th Street,11236,1,Canarsie,20,1013260,175749,nboodhram.recrooms@gmail,,3,3,2,18KBPI
KBPJ,NYCEEC,K,19,Recreation Rooms and Settlement Starrett Early Learning,,(718) 642-8724,125 Schrooeders Avenue,11239,1,Starrett City,20,1017280,175475,ssippy@aol.com,,7,8,1,19KBPJ
KBPK,NYCEEC,K,19,United Community DCC,,(718) 385-1201,613 New Lots Avenue,11207,1,East New York,66,1015693,181520,sylvenmiller@yahoo.com,ucceny.org,3,4,1,19KBPK
KBPL,NYCEEC,K,19,Recreation Rooms and Settlement Starrett Early Learning,,(718) 642-8724,1325 Pennsylvania Avenue,11239,1,Starrett City,40,1017012,175603,ssippy@aol.com,,7,8,1,19KBPL
KBPN,NYCEEC,K,20,Beth Jacob Day Care Center,,(718) 435-5755,1363 46th Street,11219,1,Borough Park,106,987427,170925,up-ka@hotmail.com, ,7,7,2,20KBPN
KBPO,NYCEEC,K,20,"Brooklyn Child Care, Inc.",,(718) 630-2831,800 Poly Place Building 2,11209,1,Bay Ridge,15,977227,161359,tanya.lipkin@va.gov,,5,7,1,20KBPO
KBPQ,NYCEEC,K,20,Generation21 Day Care,,(718) 621-9321,6709 19th Avenue,11204,1,Bensonhurst West,52,987214,163824,Generation21daycare@gmail.com,,2,7,1,20KBPQ
KBPR,NYCEEC,K,20,"Long Xing Day Care Center, Inc.",,(718) 853-8989,825 57th Street FL 3,11220,1,Sunset Park East,28,982328,171307,longxingdcc@gmail.com,,7,7,1,20KBPR
KBPS,NYCEEC,K,20,Mother Love,,(718) 853-1408,"1681 49 Street, #1F",11204,1,Borough Park,32,988846,168799,motherslove@earthlink.net,,3,7,1,20KBPS
KBPT,NYCEEC,K,20,NYL - William O'Connor,,(718) 680-9751,420 95th Street,11209,1,Bay Ridge,19,975747,163419,mary.olsen@yai.org,,5,4,2,20KBPT
KBPU,NYCEEC,K,20,Our Saviour's Lutheran Preschool,,(718) 745-0020,414 80th Street,11209,1,Bay Ridge,72,976961,167660,oslpreschool@verizon.net,oursaviourslutheranpreschool.com,2,3,1,20KBPU
KBPV,NYCEEC,K,20,Ring Around the Rosie,,(718) 492-7464,7104 13th Avenue,11228,1,Dyker Heights,16,982762,166091,Ring7104@verizon.net,,4,8,1,20KBPV
KBPY,NYCEEC,K,20,Smart Start Early Childhood Center,,(718) 921-1868,8411 Fort Hamilton Parkway,11209,1,Bay Ridge,48,977839,165548,smartstart@verizon.net,smartstart.org,5,7,1,20KBPY
KBPZ,NYCEEC,K,20,"Star America, Inc.",,(718) 431-2545,880 60th Street,11220,1,Sunset Park East,72,982127,170308,Starbrooklyn880@yahoo.com,Facebook: Star America Preschool Brooklyn,3,7,1,20KBPZ
KBQA,NYCEEC,K,20,"Tiny Tots Playhouse, LLC, The",,(718) 745-4509,243 88 Street,11209,3,Bay Ridge,54,975123,166067,tinytotplayhouse@aol.com,tinytotsplayhouse.wix.com/tinytots,8,7,1,20KBQA
KBQB,NYCEEC,K,20,"Long Xing Day Care Center, Inc.",,(718) 853-8989,"762 59th Street, 2/F & 3/F",11220,1,Sunset Park East,58,981579,171103,longxingdcc@gmail.com,,7,7,1,20KBQB
KBQE,NYCEEC,K,21,Buratino International Day Care,,(718) 368-2113,2962 Brighton 1st Street,11235,1,Brighton Beach,36,993473,150264,svetauchetel@yahoo.cm,buratinodaycare.com,1,7,1,21KBQE
KBQF,NYCEEC,K,21,Cinderella Day Care,,(718) 743-1841,130 Brighton 11th Street,11235,3,Brighton Beach,13,995871,150512,cinderelladcc@optonline.com,,3,7,1,21KBQF
KBQG,NYCEEC,K,21,M.S. Sunshine Day Care Center,,(718) 648-8786,3096 Brighton 6th Street,11235,1,Brighton Beach,35,994935,149503,mila2005yu@yahoo.com,,7,8,1,21KBQG
KBQI,NYCEEC,K,21,"Red Hat Day Care Center, Inc.",,(718) 336-1480,1317 East 15th Street,11230,3,Midwood,30,995420,164264,daycareredhat@yahoo.com,redhatdaycare.com,2,7,1,21KBQI
KBQL,NYCEEC,K,21,Shorefront YM-YWHA,,(718) 646-1444,3300 Coney Island Avenue,11235,1,Brighton Beach,54,995417,148981,kirilko@shorefronty.org,shorefronty.org,7,3,1,21KBQL
KBQN,NYCEEC,K,21,Friends of Crown Heights 6,,(718) 372-8189,49 Avenue W,11223,1,Gravesend,20,989171,154925,viptorres@aol.com,,3,7,1,21KBQN
