LOCCODE,PREK_TYPE,BOROUGH,NAME,NOTE,PHONE,ADDRESS,ZIP,DAY_LENGTH,SEATS,X,Y,EMAIL,WEBSITE,MEALS,INDOOR_OUTDOOR,EXTENDED_DAY,SEMS_CODE
KBJI,NYCEEC,K,Marcy Children's Center,,(718) 855-7252,494 Marcy Avenue,11206,1,20,998055,193639,betinolr@e-s-s.org,,3,7,1,14KBJI
KBJJ,NYCEEC,K,LSSMNY: Early LIFE Children's Center 8,,(347) 689-8303,265 Marcus Garvey Boulevard,11221,1,78,1001191,190131,SALLEYNE@LSSNY.ORG,www.early-life.org,3,1,1,16KBJJ
KBJL,NYCEEC,K,Saratoga - Morris Koppelman Center,,(718) 345-6666,774 Saratoga Avenue,11212,1,40,1007616,180367,SAndrews@sco.org,www.sco.org,3,3,1,23KBJL
KBJO,NYCEEC,K,"Yeled V'Yalda ECC, Inc.",,(718) 854-6922,1349/53 50th Street,11219,3,44,986692,170199,Sschwartz@yeled.org,,3,3,1,20KBJO
KBJP,NYCEEC,K,PAL Arnold and Marie Schwartz Early Learn Center ( KBJP),,(718) 342-4724,452 Pennsylvania Avenue,11207,1,49,1013469,181965,ARudder@palnyc.org,www.palnyc.org,3,3,1,19KBJP
KBJQ,NYCEEC,K,Friends of Crown Heights Educational Center,,(929) 234-2866,921 Hegeman Avenue,11208,1,53,1017772,181780,bobb@foch.biz,www.fochdaycare.org,3,4,1,19KBJQ
KBJR,NYCEEC,K,Friends of Crown Heights 19,,(929) 234-2838,370 New Lots Avenue,11207,1,61,1013858,180317,CSORIANO8@YAHOO.COM,www.FOCHDAYCARE.ORG,3,3,1,19KBJR
KBJS,NYCEEC,K,Friends of Crown Heights 10,,(929) 234-2821,1491 Bedford Avenue,11216,1,51,996876,183970,Alexander@fochdaycare.org,www.fochdaycare.org,3,3,1,17KBJS
KBJU,NYCEEC,K,Shirley Chisholm Day Care Center Site 5 Advent Center,,(718) 452-1200,265 Sumpter Street,11233,1,20,1007906,187363,advent265@aol.com,,3,3,2,23KBJU
KBJW,NYCEEC,K,YWCA-NYC Brownsville Early Learning Center,,(718) 342-2905,1592 East New York Avenue,11212,1,9,1009505,184191,aalexander@ywcanyc.org,www.ywcanyc.org,3,7,1,23KBJW
KBJZ,NYCEEC,K,Saratoga II - Shirley Chisholm Center,,(718) 443-4100,69 Saratoga Avenue,11233,1,89,1007192,188674,ddavidson@sco.org,www.sco.org,3,7,1,23KBJZ
KBKB,NYCEEC,K,Strong Place for Hope Day Care Center - Atlantic,,(718) 522-1351,460 Atlantic Avenue,11217,1,32,988947,189201,Jrogers775@gmail.com,www.strongplaceforhopedaycare.com,3,3,1,15KBKB
KBKC,NYCEEC,K,Friends of Crown Heights 16,,(929) 234-2870,668 Logan Street,11208,1,50,1018892,183179,gdublin4@foch.biz,www.fochdaycare.org,3,4,1,19KBKC
KBKE,NYCEEC,K,LSSMNY: Early LIFE Children's Center 9,,(718) 443-4500,1175 Gates Avenue,11221,1,71,1006405,191310,lsingh@lssny.org,www.lssny.org,3,1,1,32KBKE
KBKF,NYCEEC,K,Williamsburg CCC,,(347) 943-7682,110 Taylor Street,11249,1,14,994313,196216,donatod@e-s-s.org,www.essny.org,3,7,1,14KBKF
KBKH,NYCEEC,K,Bushwick United HDFC 9,,(347) 497-3676,741 Flushing Avenue,11206,1,29,1000023,194589,741flushing@gmail.com; ROBYNCONCEPCION@GMAIL.COM,www.bushwickunited.org/,3,8,2,14KBKH
KBKJ,NYCEEC,K,Strong Place Day Care,,(718) 624-2993,595 Clinton Street,11231,1,39,983837,185141,strongplace@hotmail.com,www.strongplaceforhopedaycare.com,3,3,1,15KBKJ
KBKK,NYCEEC,K,Friends of Crown Heights 29,,(718) 778-1498,1435 Prospect Place,11213,1,42,1003982,184593,saunders@foch.biz,www.fochdaycare.org,7,3,2,16KBKK
KBKP,NYCEEC,K,All My Children # 11,,(718) 576-6812,317 Rogers Avenue,11225,1,47,997157,181800,info@amcearlylearn.com,www.allmychildrendaycare.com,3,7,1,17KBKP
KBKQ,NYCEEC,K,Parkside ECDC,,(929) 210-9200,525 Parkside Avenue,11226,1,15,996499,178310,dniev9@aol.com,,3,7,1,17KBKQ
KBKU,NYCEEC,K,Friends of Crown Heights 15,,(929) 234-2850,2505 Pitkin Avenue,11208,1,33,1017610,185022,Checa2505@gmail.com,www.FOCHDaycare.org,7,3,1,19KBKU
KBKW,NYCEEC,K,BAAIS YAAKOV FAIGEH OF SCHONBERGER OF ADAS YEREIM,,(718) 435-5111,1169 43rd Street,11219,3,36,986662,172538,yleifer@adasyereim.org,,3,3,1,15KBKW
KBKY,NYCEEC,K,THE INFANT AND CHILD LEARNING CENTER,,(718) 675-1249,670 Parkside Avenue,11226,1,18,997762,178269,Margot.Sigmone@Downstate.edu,www.iclcdownstate.com,3,3,1,17KBKY
KBLB,NYCEEC,K,Friends of Crown Heights 18,,(929) 234-2955,851 Liberty Avenue,11208,1,35,1018073,186044,dkny5107@aol.com,www.fochdaycare.org,7,3,1,19KBLB
KBLF,NYCEEC,K,"BAMBI Day Care CENTER, INC.",,(718) 771-1603,138 Hancock Street,11216,1,20,998021,187871,bambicare@gmail.com,www.bambidcc.com,3,8,1,13KBLF
KBLI,NYCEEC,K,Young Minds Day Care Center,,(718) 622-8622,972 Fulton Street,11238,3,20,994766,187859,msmith@fortgreenecouncil.org,www.facebook.com/FGCYoungMinds,3,4,1,13KBLI
KBLJ,NYCEEC,K,"Community Parents, Inc.",,(718) 221-2531,60 East 93rd Street,11212,1,58,1004240,180994,clairewflor12@optonline.net,,3,7,1,17KBLJ
KBLK,NYCEEC,K,Bedford Stuyvesant ECDC 5Q,,(718) 453-0788,5 Quincy Street,11238,3,38,995035,189232,charlesm@bsecdc.org,,3,2,2,13KBLK
KBLL,NYCEEC,K,Northside Center for Child Development,,(347) 505-5517,44-60 Rockwell Place,11201,2,20,989926,190175,drobinson@norhtsidecenter.org,www.northsidecenter.org,3,7,2,13KBLL
KBLM,NYCEEC,K,"The Salvation Army, Bedford",,(718) 552-2690,110 Kosciusko St,11216,1,116,997939,190854,Sarah.Fay@USE.SalvationArmy.Org,ny.salvationarmy.org/GreaterNewYork/daycare-programs,3,3,1,13KBLM
KBLP,NYCEEC,K,Grand Street Settlement Dual #3,,(718) 381-8900,319 Stanhope Street,11237,1,40,1006862,195405,rebecarodriguez@grandsettlement.org,www.grandsettlement.org,3,2,2,32KBLP
KBLS,NYCEEC,K,Sumner Children's Center,,(718) 455-3471,860 Park Avenue,11206,1,29,1000711,193640,ejaffe@bksny.org,www.bksny.org,3,7,1,14KBLS
KBLT,NYCEEC,K,Tompkins Children's Center,,(718) 782-9140,730 Park Avenue,11206,1,33,999230,193457,mthompson@bksny.org,www.bksny.org,2,7,1,14KBLT
KBLU,NYCEEC,K,Stagg Street Center for Children,,(718) 388-1395,77 Stagg Street,11206,1,70,998837,197692,daycare77@aol.com,,3,3,1,14KBLU
KBLW,NYCEEC,K,Bushwick United HDFC 4,,(347) 269-8152,178 Leonard Street,11206,1,21,998991,198004,catherinel@bushwickunited.org,www.Bushwickunited.org,3,2,2,14KBLW
KBLY,NYCEEC,K,Graham Child Care Center,,(718) 387-9482,222 Graham Avenue,11206,1,40,999969,197833,grahamchildcare@verizon.net,www.colonysouth.org,3,7,2,14KBLY
KBMA,NYCEEC,K,TIFERES BNOS.,,(718) 599-2900,80 Skillman Street,11205,3,40,996008,192887,bailar@tiferesbnos.org,,5,9,3,14KBMA
KBMB,NYCEEC,K,Audrey Johnson DCC,,(718) 574-0130,272 Moffat Street,11207,1,74,1010815,190492,audreyjo272@aol.com,www.lifetech.org,2,3,2,32KBMB
KBMC,NYCEEC,K,Small World,,(718) 963-0330,211 Ainslie Street,11211,1,40,999340,199081,mrochford@stnicksalliance.org,,3,3,1,14KBMC
KBME,NYCEEC,K,Nuestros Ninos DCC II,,(718) 218-8275,243 South 2nd Street,11211,1,28,995956,198655,NuestrosNinosCDS@aol.com,,2,7,1,14KBME
KBMG,NYCEEC,K,WILLIAMSBURG NORTHSIDE PRE-SCHOOL,,(718) 599-7300,299 North 7th Street,11211,3,58,997350,199773,tsmith@willnorth.org,www.willnorth.org,8,4,2,14KBMG
KBMJ,NYCEEC,K,John Oravecz ECDC,,(347) 689-4290,176 Java St,11222,1,68,997133,205801,Magdalena.Delgado@ccbq.org,www.CCBQ.ORG,3,6,1,14KBMJ
KBMM,NYCEEC,K,BROOKLYN CHINESE AMERICAN ASSOCIATION,,(718) 438-0008,812 54th Street,11220,1,85,982644,171900,Upk@bca.net,www.bca.net,3,8,2,20KBMM
KBMN,NYCEEC,K,BROOKLYN FREE SPACE,,(718) 965-3135,298 Sixth Avenue,11215,3,27,989580,184175,stacy.roupas@brooklynfreespace.org,www.brooklynfreespace.org,8,2,1,15KBMN
KBMO,NYCEEC,K,CHICK PEAS CHILD CARE,,(347) 878-8732,451 7th Avenue,11215,1,12,988487,180754,admissions@chickpeas.org,www.chickpeas.org,5,7,2,15KBMO
KBMP,NYCEEC,K,Bay Ridge Child Care Center,,(718) 768-5030,314 44th Street,11220,2,60,981212,176356,Bayridgechildcare@twcmetrobiz.com,,3,8,2,15KBMP
KBMQ,NYCEEC,K,"HANSON PLACE CHILD DEVELOPMENT CENTER, INC.",,(718) 237-4303,55 Hanson Place,11217,1,20,990971,189050,carol.brathwaite@yahoo.com,www.hansonplaceinc.com,5,2,1,15KBMQ
KBMT,NYCEEC,K,OPEN HOUSE NURSERY SCHOOL,,(781) 625-5252,318A Warren Street,11201,3,35,986488,189020,admissions@openhousekids.org,www.openhousekids.org,8,7,1,15KBMT
KBMU,NYCEEC,K,ACE Early Childhood Center,,(718) 439-0450,199 14th Street2nd Floor,11215,1,17,986915,182329,aguo@lmcmc.com,,3,2,1,15KBMU
KBMX,NYCEEC,K,A FANTIS PAROCHIAL,,(917) 592-4247,195 State Street,11201,3,40,986644,190768,upkdirector@afantis.org,www.afantis.org,3,3,1,15KBMX
KBMZ,NYCEEC,K,Warren Street Center,,(718) 237-9578,343 Warren Street,11201,1,26,986956,188923,nsingh@lmcmc.com,www.lutheranhealthcare.org/Main/WarrenStreetCenterforChildrenandFamilies.aspx,3,4,1,15KBMZ
KBNA,NYCEEC,K,Sunset Park Children's School,,(718) 439-3188,4616 4th Avenue,11220,1,18,981214,175525,mothergoose11232@gmail.com,www.sunsetparkchild.com,5,9,3,15KBNA
KBNB,NYCEEC,K,"Therapy and Learning Center, Inc.",,(718) 290-2812,1723 8th Avenue,11215,1,32,988465,179376,sandee.bennett@tlckids.org,,5,9,3,15KBNB
KBNC,NYCEEC,K,Nesivos Bais Yaakov,,(718) 972-0804,1021 45TH STREET,11219,3,40,985463,172802,nbyupk@gmail.com,,7,8,1,15KBNC
KBNG,NYCEEC,K,Bedford-Stuyvesant Early Childhood Development Center,,(718) 453-0500,275 Marcus Garvey Boulevard,11221,3,40,1001199,189996,lubellmorriss@bsecdc.org,,3,7,1,16KBNG
KBNI,NYCEEC,K,Bedford-Stuyvesant Early Childhood Development Center,,(718) 453-0605,214 Stuyvesant Avenue,11221,1,37,1002766,189860,rattanik@bsecdc.org,,3,6,2,16KBNI
KBNJ,NYCEEC,K,Bedford Stuyvesant ECDC 260,,(718) 453-0722,260 Jefferson Avenue,11216,3,20,998867,188269,foxcasalk@bsecdc.org,,3,3,1,13KBNJ
KBNK,NYCEEC,K,Bedford Stuyvesant ECDC 262,,(718) 453-0760,262 Lexington Avenue,11216,3,30,997668,189692,foxcasalk@bsecdc.org,,3,7,1,13KBNK
KBNL,NYCEEC,K,Bedford Stuyvesant ECDC 265,,(718) 455-5565,813 Hancock Street,11233,3,48,1005651,189151,mimsd@bsecdc.org,,3,7,1,16KBNL
KBNN,NYCEEC,K,Bedford-Stuyvesant Early Childhood Development Center,,(718) 453-0681,971 Dekalb Avenue,11221,1,20,1001863,191894,gonzalezt@bsecdc.org,,3,2,1,16KBNN
KBNP,NYCEEC,K,Community Parents Head Start,,(718) 771-4002,90 Chauncey Street,11233,1,30,1003712,187088,cycummings@optimum.net,,3,7,1,16KBNP
KBNR,NYCEEC,K,Mary Mcleod Bethune Child Development Center,,(718) 455-5137,360 Pulaski Street,11206,1,36,1001889,191976,marybethune360@gmail.com,www.marymcleodbethunechilddevelopmentcenter.com,3,3,1,16KBNR
KBNU,NYCEEC,K,Stanley S. Lamm Institute Preschool,,(718) 237-8833,500 19th Street,11215,3,16,988971,178479,acaccamo@lammpreschool.org,www.lammpreschool.org,4,3,1,15KBNU
KBNV,NYCEEC,K,Park Place Day Care Center,,(718) 778-8558,963 Park Place,11213,1,17,999342,184615,crafton34@gmail.com,,3,2,1,17KBNV
KBOA,NYCEEC,K,OUR CHILDREN'S CENTER,,(718) 260-5192,300 Jay Street Room G309,11201,1,25,987728,192587,jwallace@citytech.cuny.edu,,3,3,1,13KBOA
KBOB,NYCEEC,K,Albany Avenue DCC,,(718) 773-0071,196 Albany Avenue,11213,1,28,1001112,184847,albanydr19@aol.com,www.albanydaycare.org,3,3,2,17KBOB
KBOF,NYCEEC,K,Friends of Crown Heights 2,,(718) 638-8686,671 Prospect Place,11216,1,47,996962,185166,davis@fochdaycare.org,www.Fochdaycare.org,7,3,2,17KBOF
KBOI,NYCEEC,K,JOAN WATKINS CORP DBA SCHOOL MINDS DAY CARE CENTER,,(718) 284-9392,3316-18 Church Avenue,11203,1,40,999222,176394,preschoolminds@verizon.et,,3,7,2,17KBOI
KBOL,NYCEEC,K,"PHEBEANA PRESCHOOL, INC.",,(718) 284-8147,160 Parkside Avenue,11226,1,48,994507,177625,phebeanapreskool@aol.com,,7,6,1,17KBOL
KBON,NYCEEC,K,THE CHILDREN'S CENTER @ SUNY BROOKLYN,,(718) 221-6160,440 Lenox Road,11203,1,16,999616,177571,maryann.moran@downstate.edu,,7,7,1,18KBON
KBOP,NYCEEC,K,Traditional Day Care Center,,(718) 346-5777,1112 Winthrop Street,11212,1,24,1005640,180426,traditionalchild@aol.com,,3,6,1,18KBOP
KBOQ,NYCEEC,K,Yeled V' Yalda 407,,(718) 514-8712,407 East 53rd Street,11203,3,24,1004501,175992,mhorowitz@yeled.org,www.yeled.org,3,3,1,18KBOQ
KBOS,NYCEEC,K,John Coker DCC,,(718) 452-1414,1375 Bushwick Avenue,11207,1,37,1009103,188988,JOHNCOKER75@AOL.COM,,2,3,1,32KBOS
KBOV,NYCEEC,K,Triumphant Dear God CC,,(718) 774-4696,892 Rutland Rd,11203,1,18,1003724,179938,upkanddaycare@tfga.org,www.tfga.org,3,7,1,18KBOV
KBOW,NYCEEC,K,Friends of Crown Heights,,(718) 284-2184,141 East 40th Street,11203,1,36,1000942,176919,saddler@foch.biz,www.fochdaycare.com,3,7,1,18KBOW
KBOX,NYCEEC,K,John F. Kennedy ECDC,,(718) 272-8752,10315 Farragut Road,11236,1,24,1012182,176070,AMY.LOPEZ@CCBQ.ORG; HALINES.LESNIEWSKI@CCBQ.ORG,www.ccbq.org,3,7,1,18KBOX
KBOZ,NYCEEC,K,Blake & Milford DCC,,(718) 277-2003,334 Milford Street,11208,1,16,1018537,183743,Blakeandmilforddaycare@yahoo.com,Www.blakeandmilforddaycare.com,3,6,1,19KBOZ
KBPA,NYCEEC,K,Boulevard Nursery School,,(718) 649-2295,2150 Linden Boulevard,11207,1,20,1016595,180222,coraliehook@gmail.com,,3,8,1,19KBPA
KBPB,NYCEEC,K,BREUKELEN RECREATION ROOMS DAY CARE CENTER,,(718) 649-1463,717 East 105th Street,11236,1,34,1013270,175635,breukelendcc@verizon.net,,5,9,3,18KBPB
KBPC,NYCEEC,K,Marie Durdin Child Care Center,,(718) 647-4730,2700 Linden Boulevard,11208,1,20,1021815,182930,mariedurdinchildcare@msn.com,,3,3,1,19KBPC
KBPD,NYCEEC,K,Sylvia Klein Child Care Center,,(718) 647-2274,720 Euclid Avenue,11208,1,20,1019855,183139,sylviaklein.daycare@verizon.net,,3,4,2,19KBPD
KBPG,NYCEEC,K,HELP I,,(718) 498-4002,515 Blake Avenue,11207,1,38,1011979,182425,cviruet@helpusa.org,www.helpusa.org,3,7,1,19KBPG
KBPI,NYCEEC,K,Breukelen Head Start,,(718) 649-2960,715 East 105th Street,11236,1,20,1013260,175749,nboodhram.recrooms@gmail,,3,3,2,18KBPI
KBPJ,NYCEEC,K,STARRETT EARLY LEARNING,,(718) 642-8724,125 Schroeders Avenue,11239,1,20,1017280,175475,ssippy@aol.com,,7,8,1,19KBPJ
KBPK,NYCEEC,K,United Community DCC,,(718) 385-1201,613 New Lots Avenue,11207,1,66,1015693,181520,sylvenmiller@yahoo.com,www.ucceny.org,3,4,1,19KBPK
KBPL,NYCEEC,K,Recreation Rooms and Settlement Starrett Early Learning,,(718) 642-8724,1325 Pennsylvania Avenue,11239,1,40,1017012,175603,ssippy@aol.com,,7,8,1,19KBPL
KBPN,NYCEEC,K,BETH JACOB DAY CARE CENTER,,(718) 435-5755,1363 46th Street,11219,1,106,987427,170925,up-ka@hotmail.com, ,7,7,2,20KBPN
KBPO,NYCEEC,K,"BROOKLYN CHILD CARE, INC.",,(718) 630-2831,800 Poly Place Building 2,11209,1,15,977227,161359,tanya.lipkin@va.gov,,5,7,1,20KBPO
KBPQ,NYCEEC,K,Generation 21Day Care,,(718) 621-9321,6709 19th Avenue,11204,1,35,987214,163824,Generation21daycare@gmail.com,,2,7,1,20KBPQ
KBPR,NYCEEC,K,"Long Xing Day Care Center, Inc.",,(718) 853-8989,825 57th Street FL 3,11220,1,28,982328,171307,longxingdcc@gmail.com,,7,7,1,20KBPR
KBPS,NYCEEC,K,Mother Love,,(718) 853-1408,"1681 49 Street, #1F",11204,3,25,988846,168799,motherslove@earthlink.net,,3,7,1,20KBPS
KBPT,NYCEEC,K,NYL- WILLIAM O'CONNOR,,(718) 680-9751,420 95th Street,11209,2,9,975747,163419,mary.olsen@yai.org,,5,4,2,20KBPT
KBPU,NYCEEC,K,OUR SAVIOUR'S LUTHERAN PRESCHOOL,,(718) 745-0020,414 80th Street,11209,3,108,976961,167660,oslpreschool@verizon.net,www.oursaviourslutheranpreschool.com,2,3,1,20KBPU
KBPV,NYCEEC,K,RING AROUND THE ROSIE,,(718) 492-7464,7104 13th Avenue,11228,3,32,982762,166091,Ring7104@verizon.net,,4,8,1,20KBPV
KBPY,NYCEEC,K,SMART START EARLY CHILDHOOD CENTER,,(718) 921-1868,8411 Fort Hamilton Parkway,11209,2,15,977839,165548,smartstart@verizon.net,www.smartstart.org,5,7,1,20KBPY
KBPZ,NYCEEC,K,"STAR AMERICA, INC.",,(718) 431-2545,880 60th Street,11220,2,55,982127,170308,Starbrooklyn880@yahoo.com,www.Facebook: Star America Preschool Brooklyn,3,7,1,20KBPZ
KBQA,NYCEEC,K,"The Tiny Tots Playhouse, LLC",,(718) 745-4509,243 88th Street,11209,3,54,975123,166067,tinytotplayhouse@aol.com,www.tinytotsplayhouse.wix.com/tinytots,8,7,1,20KBQA
KBQB,NYCEEC,K,"Long Xing Day Care Center, Inc.",,(718) 853-8989,"762 59th Street, 2/F & 3/F",11220,1,58,981579,171103,longxingdcc@gmail.com,,7,7,1,20KBQB
KBQE,NYCEEC,K,BURATINO INTERNATIONAL DAY CARE,,(718) 368-2113,2962 Brighton 1st Street,11235,3,18,993473,150264,svetauchetel@yahoo.cm,www.buratinodaycare.com,1,7,1,21KBQE
KBQF,NYCEEC,K,Cinderella Day Care,,(718) 743-1841,130 Brighton 11th Street,11235,3,13,995871,150512,cinderelladcc@optonline.com,,3,7,1,21KBQF
KBQG,NYCEEC,K,M.S. SUNSHINE DAY CARE CENTER,,(718) 648-8786,3096 Brighton 6th Street,11235,1,35,994935,149503,mila2005yu@yahoo.com,,7,8,1,21KBQG
KBQH,NYCEEC,K,MAGEN DAVID YESHIVAH,,(718) 265-3331,2170 McDonald Avenue,11223,3,108,991726,157758,tmizrachi@mdyschool.org,www.magendavidyeshivah.org,7,3,1,21KBQH
KBQI,NYCEEC,K,"Red Hat Day Care Center, Inc.",,(718) 336-1480,1317 East 15th Street,11230,3,30,995420,164264,daycareredhat@yahoo.com,www.redhatdaycare.com,2,7,1,21KBQI
KBQK,NYCEEC,K,SEPHARDIC COMMUNITY EARLY CHILDHOOD CENTER,,(718) 954-3156,1901 Ocean Parkway,11223,3,16,993784,158693,lisette@scclive.org,www.scclive.org,8,3,1,21KBQK
KBQL,NYCEEC,K,SHOREFRONT YM-YWHA,,(718) 646-1444,3300 Coney Island Avenue,11235,3,54,995417,148981,kirilko@shorefronty.org,www.shorefronty.org,7,3,1,21KBQL
KBQN,NYCEEC,K,Friends of Crown Heights 6,,(718) 372-8189,49 Avenue W,11223,1,20,989171,154925,viptorres@aol.com,,3,7,1,21KBQN
KBQP,NYCEEC,K,Shore Parkway Head Start,,(718) 265-2359,8885 26th Avenue,11214,1,34,986901,154500,sparkway8885@gmail.com,,5,9,3,21KBQP
KBQQ,NYCEEC,K,Bambi Day Care III,,(718) 368-1817,2114 Brown Street,11229,1,98,1000882,157918,info@bambiacademy.com,www.bambidaycare.com,3,3,1,22KBQQ
KBQU,NYCEEC,K,KESHET LEARNING CENTER,,(718) 376-6958,1612 Quentin Road,11229,1,18,996250,160871,Queenpa18@aol.com,,3,8,1,22KBQU
KBQV,NYCEEC,K,FANTASIA DAY CARE CENTER,,(718) 646-6738,2743 Ocean Avenue,11229,3,36,998090,155851,fantasiadcc@hotmail.com,www.FantasiaDayCare.com,2,7,1,22KBQV
KBQW,NYCEEC,K,Get Set Kindergarten School - Linden,,(718) 856-4646,623 Linden Boulevard,11203,1,36,1002127,177457,getsetkaye@hotmail.com,,2,7,1,18KBQW
KBQX,NYCEEC,K,GET SET KINDERGARTEN SCHOOL SITE - Cortelyou,,(718) 856-4646,1919 Cortelyou Road,11226,1,54,995253,173640,getsetkaye@hotmail.com,,2,7,1,22KBQX
KBQY,NYCEEC,K,GET SET KINDERGARTEN SCHOOL SITE - Snyder,,(718) 856-4646,2301 Snyder Avenue,11226,1,36,996625,175651,getsetkaye@hotmail.com,,2,7,1,17KBQY
KBRA,NYCEEC,K,Bushwick United HDFC 7,,(718) 443-0134,600 Hart Street,11221,1,55,1004161,193357,JUANC@BUSHWICKUNITED.ORG,www.BushwickUnited.org,3,4,1,32KBRA
KBRB,NYCEEC,K,Infinity UPK,,(718) 336-1981,1972 East 34th Street,11234,2,48,1002772,161157,infinityoffice@infinitypreschool.org,www.infinitypreschool.org,5,4,1,22KBRB
KBRD,NYCEEC,K,"KINGSBAY YM-YWHA, INC.",,(718) 648-7703,3495 Nostrand Avenue,11229,3,40,1000562,157414,susan@kingsbayy.org,www.kingsbayy.org,3,3,1,22KBRD
KBRH,NYCEEC,K,NAYEMA UNIVERSAL CHILD CENTER,,(718) 462-3688,1107 Newkirk Avenue,11230,3,36,993554,170338,lenxcare@aol.com,,4,6,2,22KBRH
KBRI,NYCEEC,K,RAINBOW DAY CARE CENTER,,(718) 377-2918,3846 Flatlands Avenue,11234,3,40,1001587,165020,rainbowdaycarecenter@me.com,www.rainbowdaycarecenter.org,8,8,1,22KBRI
KBRL,NYCEEC,K,"TINY TOTS EXPRESS, INC.",,(718) 338-9561,3321 Avenue N,11234,3,12,1000484,164353,ttexpressinc@aol.com,www.tinytotsexpressinc.webs.com,8,7,1,22KBRL
KBRP,NYCEEC,K,Friends of Crown Heights Educational Center #5,,(718) 284-9194,1886 Nostrand Avenue,11226,1,110,998493,172268,nichols@foch.biz,www.fochdaycare.org,3,2,1,22KBRP
KBRS,NYCEEC,K,The Family and Life Center of Mt. Ararat,,(347) 513-4303,765 Lafayette Ave,11221,1,36,1000286,191089,jfreeman@youngbrooklynleaderspreparatory.org,www.Youngbrooklynleaderspreparatory.org,3,4,1,16KBRS
KBRT,NYCEEC,K,The Salvation Army - Brownsville Day Care Center,,(718) 345-2488,280 Riverdale Avenue,11212,1,38,1010265,180170,Kimberly.Durham-Carr@use.salvationarmy.org,www.salvationarmy.org,3,3,2,23KBRT
KBRZ,NYCEEC,K,Bushwick United HDFC 3,,(718) 453-9040,331 Central Avenue,11221,1,20,1006609,192524,MARYANGELC@BUSHWICKUNITED.ORG,www.BushwickUnited.org,5,9,3,32KBRZ
KBSA,NYCEEC,K,Bushwick United HDFC 2,,(718) 821-2345,77 Wilson Avenue,11237,1,38,1004288,195057,BUSHEDU@AOL.COM,,5,9,3,32KBSA
KBSB,NYCEEC,K,"HCHC, Inc.",,(718) 443-3917,1419 Broadway,11221,1,10,1006406,190170,vera.gregory@aceintegration.org,,3,4,2,32KBSB
KBSC,NYCEEC,K,New Life Child Development Center 3,,(718) 417-4214,408 Grove Street,11237,1,38,1008501,194797,newlifedc2@verizon.net,,3,7,1,32KBSC
KBSD,NYCEEC,K,"The Salvation Army, Bushwick",,(718) 455-0100,1151 Bushwick Ave,11221,1,20,1007190,190417,Indhira.Reyes@use.salvationarmy.org,,3,3,1,32KBSD
KBSI,NYCEEC,K,Friends of Crown Heights 9,,(718) 773-7733,813 Sterling Place,11216,1,55,997721,184380,pbutts@foch.biz,www.fochdaycare.org,7,3,1,17KBSI
KBSL,NYCEEC,K,Charles R Drew ELC 5,,(718) 740-2400,2804 Glenwood Road,11210,1,21,998137,170247,crddcc@aol.com,www.charlesrdrewforsuccess.org,3,7,2,22KBSL
KBSQ,NYCEEC,K,All My Children Day Care 15,,(929) 234-2306,36 Ford Street,11213,1,18,1003836,181430,rfrishman@amcearlylearn.com,www.allmychildrendaycare.com,3,4,2,17KBSQ
KBSX,NYCEEC,K,Be Above 49,,(718) 513-1931,2221 Avenue R,11229,1,18,998111,160365,ffishman@babove.com,,3,7,1,22KBSX
KBTA,NYCEEC,K,Bedford Stuyvesant ECDC 133,,(718) 453-0828,133 Kings First Walk,11233,3,15,1004502,185396,rattanik@bsecdc.org,,3,7,1,16KBTA
KBTB,NYCEEC,K,Brightside Academy - Barbey,,(718) 257-2222,683 Barbey Street,11207,1,28,1016019,181750,pswift@brightsideacademy.com,www.brightsideacademy.com,3,7,1,19KBTB
KBTC,NYCEEC,K,Brightside Academy - Belmont,,(718) 346-1064,50 Belmont Avenue,11212,1,48,1009679,182868,msteele@brightsideacademy.com,www.brightsideacademy.com,5,7,1,23KBTC
KBTE,NYCEEC,K,Brightside Academy - Broadway,,(718) 455-1612,1491 Broadway,11221,1,55,1007026,189699,rinman@brightsideacademy.com,www.brightsideacademy.com,5,6,1,32KBTE
KBTH,NYCEEC,K,Brightside Academy - Dekalb Ave,,(718) 574-3710,844 Dekalb Avenue,11221,1,16,1000255,191478,sfurbert@brightsideacademy.com,www.brightsideacademy.com,5,7,1,16KBTH
KBUA,NYCEEC,K,BCS Atlantic Avenue Early Learning Center,,(347) 296-4980,1825 Atlantic Avenue,11233,1,33,1004969,186076,msurrency@wearebcs.org,www.wearebcs.org,3,3,2,16KBUA
KBUF,NYCEEC,K,Butterfly,,(718) 677-2899,2810 Nostrand Avenue,11229,1,18,999521,163428,margarita.karimova24@gmail.com,www.brooklyn-butterfly.com,5,9,3,22KBUF
KBUJ,NYCEEC,K,Brooklyn Chinese American Association - Bay Ridge DCC,,(718) 438-0008,4202 8th Avenue,11232,1,105,984437,174480,bcachildcare@aol.com,www.bca.net,3,6,2,15KBUJ
KBUL,NYCEEC,K,Brooklyn Chinese American Association,,(718) 331-8809,6409 20 Avenue,11204,1,35,988328,163974,michelleluo98@hotmail.com,,3,6,1,20KBUL
KBUM,NYCEEC,K,Bumble Bees R Us 3,,(718) 434-2337,2813 Farragut Road,11210,1,26,998301,171133,info@bumblebeesrus.com,www.Bumblebeesrus.com,3,2,1,22KBUM
